100,0,0
95,5,0
95,2.5,2.5
95,0,5
75,25,0
75,12.5,12.5
75,0,25
0,100,0
0,75,25
0,50,50
0,27,75
0,0,100
75,18.75,6.25
75,6.25,18.75
